mhi,pop,pop_black,STATEFP,COUNTYFP,TRACTCE,FIPS,P_black
83021.0,2115.0,227.0,13,089,023000,13089023000,0.10732860520094563
72935.0,2056.0,330.0,13,089,021812,13089021812,0.1605058365758755
55048.0,9022.0,6769.0,13,089,021907,13089021907,0.7502771004211927
73819.0,6061.0,596.0,13,089,022301,13089022301,0.0983336083154595
56487.0,4462.0,3497.0,13,089,023101,13089023101,0.7837292693859256
32258.0,4557.0,4030.0,13,089,023108,13089023108,0.8843537414965986
74539.0,5788.0,1625.0,13,089,021810,13089021810,0.2807532826537664
32672.0,7764.0,2985.0,13,089,022008,13089022008,0.3844667697063369
79400.0,3767.0,937.0,13,089,022900,13089022900,0.24873904964162463
39961.0,3390.0,1982.0,13,089,023102,13089023102,0.5846607669616519
34132.0,4428.0,4178.0,13,089,023410,13089023410,0.9435411020776875
111759.0,5170.0,910.0,13,121,005200,13121005200,0.1760154738878143
30395.0,936.0,557.0,13,121,006400,13121006400,0.5950854700854701
27083.0,2136.0,2021.0,13,121,007200,13121007200,0.9461610486891385
59474.0,3359.0,3029.0,13,121,010508,13121010508,0.9017564751414111
50118.0,5073.0,698.0,13,089,021306,13089021306,0.13759116893356987
50362.0,4185.0,340.0,13,089,021307,13089021307,0.08124253285543608
52813.0,4391.0,500.0,13,089,021308,13089021308,0.11386927806877704
50666.0,3930.0,1361.0,13,089,021409,13089021409,0.34631043256997457
62951.0,5443.0,428.0,13,089,021410,13089021410,0.07863310674260518
92404.0,3242.0,358.0,13,089,021411,13089021411,0.11042566317088218
115759.0,3764.0,151.0,13,089,021412,13089021412,0.040116896918172155
47885.0,4081.0,490.0,13,089,021413,13089021413,0.12006861063464837
53222.0,4156.0,1208.0,13,089,021414,13089021414,0.2906641000962464
111827.0,3687.0,202.0,13,089,021415,13089021415,0.05478708977488473
108203.0,2298.0,136.0,13,089,021416,13089021416,0.05918189730200174
56071.0,4006.0,29.0,13,143,010100,13143010100,0.007239141288067898
49091.0,5377.0,138.0,13,143,010200,13143010200,0.02566486888599591
48239.0,3921.0,165.0,13,143,010301,13143010301,0.042081101759755164
52609.0,7922.0,444.0,13,143,010302,13143010302,0.05604645291593032
45023.0,8001.0,705.0,13,143,010400,13143010400,0.08811398575178103
133646.0,3199.0,36.0,13,067,030332,13067030332,0.011253516723976243
180536.0,7165.0,0.0,13,067,030336,13067030336,0.0
49406.0,6449.0,1863.0,13,067,030405,13067030405,0.2888819972088696
83611.0,5956.0,961.0,13,067,030504,13067030504,0.16134989926124915
63838.0,6003.0,1197.0,13,067,030902,13067030902,0.19940029985007496
59093.0,6146.0,1109.0,13,067,031101,13067031101,0.18044256426944355
66154.0,3241.0,290.0,13,067,031110,13067031110,0.08947855600123418
78824.0,4566.0,2091.0,13,067,031306,13067031306,0.4579500657030223
58530.0,8152.0,3843.0,13,067,031405,13067031405,0.4714180569185476
110000.0,7662.0,1829.0,13,067,030209,13067030209,0.23871051944661967
136076.0,6752.0,340.0,13,067,030328,13067030328,0.050355450236966824
69261.0,8700.0,3605.0,13,067,030905,13067030905,0.414367816091954
29016.0,5366.0,1234.0,13,067,031001,13067031001,0.22996645546030564
101548.0,5932.0,1265.0,13,067,031112,13067031112,0.21325016857720835
65530.0,9443.0,4461.0,13,067,031503,13067031503,0.4724134279360373
85197.0,5991.0,444.0,13,067,030311,13067030311,0.07411116675012519
156037.0,4442.0,146.0,13,067,030326,13067030326,0.03286807744259343
97257.0,2047.0,168.0,13,121,000400,13121000400,0.08207132388861749
168396.0,5410.0,131.0,13,121,000100,13121000100,0.02421441774491682
53686.0,7952.0,1572.0,13,121,000600,13121000600,0.1976861167002012
53889.0,2074.0,1193.0,13,121,003500,13121003500,0.5752169720347156
54208.0,2214.0,1791.0,13,121,004100,13121004100,0.8089430894308943
75570.0,2586.0,923.0,13,121,005000,13121005000,0.35692188708430006
21804.0,2846.0,2627.0,13,121,005502,13121005502,0.9230498945888967
29323.0,3908.0,3692.0,13,121,006100,13121006100,0.9447287615148413
31483.0,1492.0,1270.0,13,121,006300,13121006300,0.8512064343163539
26205.0,3348.0,2872.0,13,121,007500,13121007500,0.8578255675029869
24398.0,3404.0,3215.0,13,121,007807,13121007807,0.9444770857814336
12485.0,4580.0,4342.0,13,121,007808,13121007808,0.9480349344978166
27119.0,6647.0,6281.0,13,121,008102,13121008102,0.9449375658191665
68469.0,5735.0,789.0,13,013,180503,13013180503,0.13757628596338273
63125.0,1487.0,13.0,13,015,960101,13015960101,0.008742434431741762
73497.0,10296.0,197.0,13,015,960102,13015960102,0.019133644133644132
47885.0,10696.0,1946.0,13,015,960401,13015960401,0.18193717277486912
61650.0,8975.0,1361.0,13,015,960402,13015960402,0.1516434540389972
58240.0,3081.0,101.0,13,015,960901,13015960901,0.03278156442713405
66733.0,7004.0,527.0,13,015,960902,13015960902,0.07524271844660194
95308.0,18598.0,5422.0,13,135,050607,13135050607,0.2915367243789655
90029.0,19821.0,5019.0,13,135,050608,13135050608,0.2532162857575299
98038.0,14829.0,2770.0,13,135,050609,13135050609,0.1867961426933711
118623.0,16924.0,2344.0,13,135,050610,13135050610,0.13850153627983927
64496.0,3998.0,2107.0,13,135,050722,13135050722,0.5270135067533767
86563.0,8095.0,5060.0,13,135,050723,13135050723,0.625077208153181
86588.0,18893.0,8092.0,13,135,050724,13135050724,0.42830678028899594
67525.0,6520.0,3410.0,13,135,050725,13135050725,0.5230061349693251
69422.0,10413.0,3042.0,13,135,050726,13135050726,0.29213483146067415
99072.0,10850.0,3845.0,13,135,050727,13135050727,0.3543778801843318
94167.0,15493.0,11336.0,13,135,050728,13135050728,0.7316852772219712
64152.0,3381.0,1760.0,13,135,050729,13135050729,0.5205560485063591
70779.0,7460.0,3721.0,13,135,050730,13135050730,0.49879356568364613
65704.0,10440.0,5249.0,13,135,050731,13135050731,0.5027777777777778
54575.0,6193.0,955.0,13,089,021417,13089021417,0.15420636202163734
82454.0,6236.0,1702.0,13,089,021605,13089021605,0.27293136626042336
44883.0,2752.0,1649.0,13,089,021813,13089021813,0.5992005813953488
39085.0,6120.0,2352.0,13,089,021814,13089021814,0.3843137254901961
27835.0,1569.0,1406.0,13,089,021911,13089021911,0.8961121733588273
57381.0,3938.0,582.0,13,089,021503,13089021503,0.14779075672930422
77708.0,5357.0,692.0,13,089,021504,13089021504,0.1291767780474146
44881.0,6577.0,2659.0,13,121,010800,13121010800,0.4042876691500684
85081.0,7783.0,2105.0,13,121,011405,13121011405,0.2704612617242709
91222.0,9520.0,1244.0,13,121,011412,13121011412,0.13067226890756303
23546.0,3036.0,2160.0,13,121,011000,13121011000,0.7114624505928854
60333.0,2365.0,1368.0,13,121,011100,13121011100,0.5784355179704017
68618.0,2409.0,1359.0,13,121,002100,13121002100,0.564134495641345
61125.0,5210.0,4982.0,13,121,007900,13121007900,0.9562380038387716
35670.0,3380.0,2464.0,13,121,011201,13121011201,0.7289940828402367
33000.0,2090.0,2025.0,13,121,003900,13121003900,0.9688995215311005
82212.0,6809.0,1180.0,13,121,010210,13121010210,0.17330004405933325
132813.0,5040.0,121.0,13,117,130304,13117130304,0.02400793650793651
118513.0,6304.0,102.0,13,117,130305,13117130305,0.01618020304568528
124886.0,4988.0,272.0,13,117,130306,13117130306,0.0545308740978348
113919.0,5952.0,407.0,13,117,130307,13117130307,0.06838037634408602
73750.0,6130.0,15.0,13,117,130403,13117130403,0.0024469820554649264
145000.0,4724.0,431.0,13,117,130404,13117130404,0.09123624047417443
113833.0,4942.0,402.0,13,117,130405,13117130405,0.08134358559287738
