placekey,customer_race_entropy,customer_bar_mhi_mean,customer_weighted_var
223-223@8g6-yky-575,1.4046206855721208,77353.21854304636,1158704176.0913117
22g-222@8g7-474-dqf,1.2716049161443042,77006.82352941176,1211562973.2041523
226-222@8g6-ym2-cqz,1.3043965852750679,92065.0,390536644.0
zzw-222@8g6-y4w-jqf,1.0481627133334206,103562.39130434782,883323732.1512287
zzw-223@8g6-ycb-gtv,1.359063266697754,105188.5,386441499.25
zzw-222@8g7-4rh-bhq,0.8104551393096434,50897.2298136646,235550813.5931484
226-222@8g6-x6x-g49,1.2101870636991188,61022.42857142857,149560675.3877551
223-222@8g6-yqg-mff,1.0083921247755483,94951.84848484848,1458815995.1790633
223-222@8g6-yth-r6k,1.546355287408861,65759.23214285714,480773348.53539544
242-224@8g7-46m-vs5,1.1354123780227277,56714.0,481412254.3333333
225-222@8g7-33w-xdv,1.1292686130298064,85757.56896551725,1256287832.9348989
zzw-222@8g7-4c6-b6k,1.193444414153841,92656.28767123287,1607936594.6432724
223-222@8g6-ykz-b49,1.2401729922110434,85690.86098654708,1723234843.859599
223-222@8g6-x3z-n5z,1.0852355481165916,60208.39473684211,334815496.3704986
27k-222@8g7-46p-rhq,1.0864532588700153,76644.0,1233063225.0
22g-224@8g7-46n-cnq,1.2327579266437751,62061.544117647056,457527054.5715831
222-223@8g7-475-x5z,1.3434404294738087,68451.48837209302,220368309.2731206
222-222@8g6-yqm-6rk,1.3195894177244878,72545.38461538461,659896230.2366862
zzw-223@8g6-x94-6c5,1.220510530650709,73883.5172413793,636908001.8359097
zzw-222@8g6-x8p-wkz,0.9918091062748755,54889.64,242144996.55040002
224-222@8g6-x94-ysq,1.0147729230282518,56793.38461538462,533563923.00591713
22d-222@8g6-xgt-gp9,1.2897978193878699,77370.17105263157,321251043.8084603
228-222@8g7-48z-pvz,1.0569562648192055,34228.0,24059025.0
zzw-22j@8g6-yjy-2hq,1.240225712067959,99879.11731843576,1847392953.5411713
223-222@8gb-q5w-8n5,0.9556375459078406,52256.0,115433536.0
zzw-222@8g6-x8q-8jv,1.0502399854920665,57776.205128205125,300298486.573307
228-22t@8g7-26f-vzz,1.2507323749042307,86836.1902156421,703427967.5624663
zzw-227@8g6-ykk-v75,1.4022351637263837,68773.18181818182,1349711641.6033056
229-222@8g7-4c9-7dv,1.3849197780908853,78073.88235294117,1613137008.8096888
228-223@8g7-485-cyv,1.2073760050169897,80289.04347826086,1161100519.7807183
222-223@8g7-3z5-kj9,0.11209251582414657,27635.428571428572,112410226.53061225
zzw-224@8g6-y3p-b6k,1.196210173995549,128115.90706319702,1038272504.3073479
zzy-222@8g7-4ps-kj9,1.1963657520816835,73335.57142857143,1512894143.4829934
223-224@8g6-yjn-wc5,1.1929935643241283,77512.0,14326225.0
227-222@8gb-6qw-66k,0.9372339458999346,86888.29004329005,497575233.10635096
222-222@8g7-4qp-fzz,1.0736755682054886,60966.818181818184,908286485.4214877
226-222@8g6-y56-7t9,1.1246248403255528,101241.0,34000561.0
225-222@8g6-ycf-dn5,1.235578032167132,102180.7741935484,1165620563.766216
zzw-224@8g7-47b-hnq,1.280593567625446,52202.56923076923,367006684.06059164
zzw-222@8gm-drr-wzf,0.9189876453063601,71386.84671532847,573514025.764825
zzw-223@8g7-479-qzz,1.2802653070636414,82306.24293785311,977362134.6471958
223-222@8g6-y4x-2kz,0.7443262029307682,137724.5,1194013470.25
zzw-226@8g6-y8r-z75,0.7779718164146635,129137.53658536586,1276503117.0128891
zzw-225@8g7-4cx-9vf,1.1719792172528058,64875.92372881356,561112228.8670641
222-226@8g6-yjy-8sq,1.237211367802595,91741.46396396396,1270482606.951404
224-223@8g6-x45-6kz,1.0988627056414806,53856.5,160212306.25
223-224@8g6-y4w-mx5,1.080814709265497,93644.05033557047,1388935766.0343792
zzw-224@8g7-485-68v,1.1239301921926654,87480.25,526654625.1875
zzw-222@8g6-yks-t7q,1.2232081579435652,84779.08450704225,867255900.1055346
zzw-222@8gm-dzp-4vz,1.003377497888841,85805.64179104478,550537316.9463134
zzw-222@8g6-yth-wrk,1.385250711077945,80376.20289855072,902576815.2631799
zzw-222@8g6-ysc-skf,1.4440645473052915,59516.555555555555,614996133.728395
