,placekey,wavg_mhi_context,wvar_mhi_context,entropy_context,customer_race_entropy,customer_bar_mhi_mean,customer_weighted_var,entropy_ratio,wmmhi_ratio,variance_ratio
28,222-222@8g6-ym8-dgk,87155.7229398588,1343148870.8951964,0.8399278743188833,1.3109744169828046,62561.61967213115,671181208.8914163,1.560817847658531,0.7178142474396244,0.4997072353149358
29,222-222@8g6-ymt-z4v,88422.43915008601,1315287281.8575656,0.8378852524243658,1.44540313433552,68110.69565217392,532342857.9508506,1.7250609557255496,0.7702874553886095,0.4047350455628437
30,222-222@8g6-yqm-6rk,84375.96664820188,1440435031.9807482,0.844458522402677,1.3195894177244878,72545.38461538461,659896230.2366862,1.5626456276028278,0.8597873007826525,0.4581228695398085
31,222-222@8g6-ytb-j5f,65119.99547725232,571576681.8777691,1.060681908587352,1.419628227954273,93033.56521739133,1263371883.515312,1.3384109000642581,1.4286482137408894,2.2103278940016002
32,222-222@8g6-ytk-mc5,67118.48901695108,697053870.3763088,1.0632866519837094,1.4195657799799652,84931.96226415095,1106767183.4702742,1.3350734511070628,1.2654033710845458,1.5877785498454793
33,222-222@8g6-ytr-5cq,60227.997446417285,639607214.9345629,1.0483369613960725,1.5064997514470055,71765.48936170213,646742278.5052059,1.437037714897314,1.1915635984003843,1.0111553831852458
34,222-222@8g7-223-mhq,78544.52896775233,485618214.21591336,0.6492644529291052,0.702469837558394,55479.0,271441.0,1.0819471702004582,0.706338184582885,0.0005589596766634316
35,222-222@8g7-2k6-sbk,78442.26575081733,177292626.137678,0.8771163718672905,1.2275348192092388,82472.35483870968,275555394.85565627,1.3995119217715015,1.051376500274667,1.554240584386581
36,222-222@8g7-3d9-xqz,62324.87296029359,315408914.16541004,0.8680879054266304,1.231182420565951,72293.4875,399652842.0498438,1.4182692937771944,1.1599460065655856,1.2670943150333844
37,222-222@8g7-3yp-c5z,41869.75190251765,271724410.8721414,0.3703780510703884,0.8475289767771431,49058.11504424779,198211226.93366748,2.288280783183004,1.1716839201356217,0.7294568283264575
38,222-222@8g7-448-qs5,63886.17665772187,334919723.4280331,0.7837566090634526,1.1568113061903602,61092.1902173913,353784972.947513,1.475982840607479,0.9562661817234782,1.056327675558748
39,222-222@8g7-46m-whq,66438.73155542223,1514164799.239931,0.8791655976098107,1.2942324903656417,63488.79802955665,564582543.6193064,1.4721145753249152,0.9555991895570013,0.3728673020946672
40,222-222@8g7-46q-f2k,66592.58021361688,1450579061.0542445,0.8751943767263866,1.3775725700528612,76527.39393939394,1996480565.966024,1.5740189913074978,1.1491879980308315,1.376333506782479
41,222-222@8g7-46r-ct9,66037.02470484856,1470715955.8713906,0.8696233758126775,1.2643256118158068,68934.0,111408025.0,1.4538772151039219,1.0438689554549045,0.07575087803680718
42,222-222@8g7-46v-35z,51055.39957758687,753608471.5456297,0.7430474513225648,0.9152584532502068,42371.421875,232218443.46264648,1.2317631284800457,0.8299106896736717,0.30814202895884785
43,222-222@8g7-46w-8y9,57608.40910170565,1008521116.5064029,0.7417643395883387,1.1880649657250837,66379.6568627451,988751270.9018646,1.601674416411594,1.15225637884834,0.9803971922045396
44,222-222@8g7-472-mzf,79232.27716470863,1713834550.9155445,0.9196231385210898,1.328335376235366,60112.43564356436,581852969.3547692,1.4444344869046628,0.7586862045956623,0.33950358221214444
45,222-222@8g7-477-xqz,60270.254945297296,1227383500.7580674,0.834277628536567,1.115130286063128,54588.76219512195,822997510.8763757,1.336641722035881,0.9057330559604899,0.6705300424586682
46,222-222@8g7-478-dsq,71486.97209757987,1743966398.465091,0.91237716603637,0.2907594931056165,40215.0,0.0,0.31868343918421344,0.562550053807097,0.0
47,222-222@8g7-479-sdv,73586.6390064943,1608376656.5851843,0.9063207674921414,1.2870687008704311,77353.83988764045,1058118254.7075102,1.4201028455210711,1.051194088111752,0.6578796393091454
48,222-222@8g7-479-wkz,75463.04239745911,1700420484.782923,0.91139256254789,1.3124478792231145,69826.44230769231,506866322.0030818,1.4400467297582875,0.9253064823429835,0.29808293098032673
49,222-222@8g7-47d-xqz,61345.16254930304,958688387.8784512,0.7721206706695358,1.161637988752911,80369.76923076923,187478768.02366865,1.504477257091964,1.3101239917031133,0.1955575663522467
50,222-222@8g7-47m-wx5,58248.32667961687,855375934.9590548,0.7082244190143853,0.9647031418088374,60090.66666666666,492928037.9118773,1.362143292307523,1.031629062877346,0.5762706405055372
51,222-222@8g7-47p-jjv,59136.11903784611,971700865.4038584,0.7306985519553229,1.092833035813222,60611.61538461538,273487600.85207105,1.4956003852598865,1.0249508484962462,0.2814524619553612
52,222-222@8g7-484-hqz,75599.79321162724,1260810726.3208594,0.912277019492976,1.3707569644498614,84299.0,1235665162.8,1.5025665835709625,1.1150691876103547,0.9800560361710785
53,222-222@8g7-485-9zz,70487.19593567697,1301795102.7101362,0.9092341261456416,1.1338125393845302,97210.07692307692,2027083533.2248523,1.2469973429076018,1.3791168116800376,1.557144844841387
