placekey,location_name,brands,latitude,longitude,category_tags,opened_on,closed_on
222-222@8g6-ykz-6p9,Buckhead Saloon,,33.843162,-84.378688,"American Food,Bar or Pub,Late Night,Sports Bar",,
zzw-222@8g7-488-q2k,GOLDRUSH Showbar,,33.68382,-84.407239,"Adult Entertainment,Late Night",,
222-222@8g7-46v-35z,Speakeasy Lounge,,33.722337,-84.399448,"Bar or Pub,Late Night",,
227-222@8g7-474-dn5,Oscar's Atlanta,,33.796432,-84.370799,"Bar or Pub,Gay Bar,Late Night",,
227-222@8g7-46r-47q,Bar One,,33.746516,-84.364951,"Bar or Pub,Cocktail Lounge,Late Night,Tapas",,2020-01
222-223@8g6-y4w-jn5,BD Metrics,,34.020799,-84.361193,"Bar or Pub,Late Night",,
22f-222@8gm-jp3-cdv,Main Street Pub,,33.038154,-85.031401,"Bar or Pub,Late Night,Sports Bar",,
zzw-222@8gm-gb3-z9f,TenTwentyTwo Restaurant & Lounge,,33.572693,-85.088437,"Bar or Pub,Cocktail Lounge,Hookah,Late Night,Seafood",,2022-10
22p-222@8gb-6zv-j9z,Kennesaw Billiards,,34.042047,-84.601666,"Bar or Pub,Late Night,Pool and Billiards,Sports Bar",,
222-224@8gm-kh8-g6k,Cason's Tap Room,,32.848134,-84.85383,"Bar or Pub,Late Night",,
223-222@8g7-479-q9f,Midtown Tavern,,33.769728,-84.382261,"Bar or Pub,Karaoke,Late Night,Sports Bar",,2021-10
22k-222@8g6-t85-r6k,Reboot Retrocade & Bar,,32.836093,-83.628723,"Arcades,Bar or Pub,Late Night",,
zzw-222@8gb-7gc-4d9,Lumiere Lounge,,33.953584,-84.549164,"Bar or Pub,Cocktail Lounge,Late Night",,
222-222@8gj-6t3-5fz,Bad Habitz Saloon And Grub,,30.842594,-83.323742,"Bar or Pub,Late Night",,2020-01
zzw-222@8gb-mgm-2ff,The Station Bar And Grill,,34.577363,-83.336336,Late Night,,
222-222@8g6-q27-qvf,Duke's Lounge & Dog House,,33.179403,-83.275452,"Bar or Pub,Cocktail Lounge,Late Night",,
zzw-226@8g7-479-y7q,Bulldog's,,33.778994,-84.38403,"Bar or Pub,Gay Bar,Late Night",,
222-222@8g6-yd5-r6k,Marlow's Tavern,Marlow's Tavern,33.990726,-84.086136,"American Food,Bar or Pub,Casual Dining,Dinner,Drinks,Lunch",,
22w-222@8gd-q2v-mhq,Say Hey's & Mary,,32.053724,-81.101854,"Bar or Pub,Cocktail Lounge,Late Night,Sports Bar",,
223-222@8g6-ytk-vj9,Arena,,33.963463,-84.141948,"Bar or Pub,Coffee Shop,Late Night",,
223-223@8g6-yk4-rzf,Happy Karaoke,,33.899941,-84.27726,"Bar or Pub,Karaoke,Korean Food,Late Night",,
27k-222@8g7-46p-rhq,Vesper,,33.740733,-84.357876,"Bar or Pub,Cocktail Lounge,Late Night,Tapas",,
